AGE ,SEDENTARY,MODERATE,ACTIVE
2,1000,1200,1000
3,1000,1400,1400
4,1200,1400,1400
5,1200,1400,1600
6,1200,1600,1600
7,1200,1600,1800
8,1400,1600,1800
9,1400,1600,1800
10,1400,1800,2000
11,1600,1800,2000
12,1600,2000,2200
13,1600,2000,2200
14,1800,2000,2400
15,1800,2000,2400
16,1800,2000,2400
17,1800,2000,2400
18,1800,2000,2400
19,2000,2200,2400
20,2000,2200,2400
21,2000,2000,2400
22,2000,2000,2400
23,2000,2000,2400
24,2000,2000,2400
25,2000,2000,2400
26,1800,2000,2400
27,1800,2000,2400
28,1800,2000,2400
29,1800,2000,2400
30,1800,2000,2400
31,1800,2000,2200
32,1800,2000,2200
33,1800,2000,2200
34,1800,2000,2200
35,1800,2000,2200
36,1800,2000,2200
37,1800,2000,2200
38,1800,2000,2200
39,1800,2000,2200
40,1800,2000,2200
41,1800,2000,2200
42,1800,2000,2200
43,1800,2000,2200
44,1800,2000,2200
45,1800,2000,2200
46,1800,2000,2200
47,1800,2000,2200
48,1800,2000,2200
49,1800,2000,2200
50,1800,2000,2200
51,1600,1800,2200
52,1600,1800,2200
53,1600,1800,2200
54,1600,1800,2200
55,1600,1800,2200
56,1600,1800,2200
57,1600,1800,2200
58,1600,1800,2200
59,1600,1800,2200
60,1600,1800,2200
61,1600,1800,2000
62,1600,1800,2000
63,1600,1800,2000
64,1600,1800,2000
65,1600,1800,2000
66,1600,1800,2000
67,1600,1800,2000
68,1600,1800,2000
69,1600,1800,2000
70,1600,1800,2000
71,1600,1800,2000
72,1600,1800,2000
73,1600,1800,2000
74,1600,1800,2000
75,1600,1800,2000
76,1600,1800,2000
