Food and Serving,Calories,Total Fat,Sodium,Potassium,Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron,Cost
"Asparagus, 5 spears (93 g/3.3 oz)",20,0,0,230,4,2,2,2,10,15,2,2,0.05
"Bell Pepper, 1 medium (148 g/5.3 oz)",25,0,40,220,6,2,4,1,4,190,2,4,0.25
"Broccoli, 1 medium stalk (148 g/5.3 oz)",45,0.5,80,460,8,3,2,4,6,220,6,6,0.5
"Carrot, 1 carrot, (78 g/2.8 oz)",30,0,60,250,7,2,5,1,110,10,2,2,0.2
"Cauliflower, 1/6 medium head (99 g/3.5 oz)",25,0,30,270,5,2,2,2,0,100,2,2,0.2
"Celery, 2 medium stalks (110 g/3.9 oz)",15,0,115,260,4,2,2,0,10,15,4,2,0.1
"Cucumber, 1/3 medium (99 g/3.5 oz)",10,0,0,140,2,1,1,1,4,10,2,2,0.3
"Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz)",20,0,0,200,5,3,2,1,4,10,4,2,0.07
"Green Cabbage, 1/12 medium head (84 g/3.0 oz)",25,0,20,190,5,2,3,1,0,70,4,2,0.25
"Green Onion, 1/4 cup chopped (25 g/0.9 oz)",10,0,10,70,2,1,1,0,2,8,2,2,0.06
"Iceberg Lettuce, 1/6 medium head (89 g/3.2 oz)",10,0,10,125,2,1,2,1,6,6,2,2,0.08
"Leaf Lettuce, 1 1/2 cups shredded (85 g/3.0 oz)",15,0,35,170,2,1,1,1,130,6,2,4,0.05
"Mushrooms, 5 medium (84 g/3.0 oz)",20,0,15,300,3,1,0,3,0,2,0,2,0.75
"Onion, 1 medium (148 g/5.3 oz)",45,0,5,190,11,3,9,1,0,20,4,4,0.2
"Potato, 1 medium (148 g/5.3 oz)",110,0,0,620,26,2,1,3,0,45,2,6,0.25
"Radishes, 7 radishes (85 g/3.0 oz)",10,0,55,190,3,1,2,0,0,30,2,2,1
"Summer Squash, 1/2 medium (98 g/3.5 oz)",20,0,0,260,4,2,2,1,6,30,2,2,0.5
"Sweet Corn, kernels from 1 medium ear (90 g/3.2 oz)",90,2.5,0,250,18,2,5,4,2,10,0,2,0.5
"Sweet Potato, 1 medium, (130 g/4.6 oz)",100,0,70,440,23,4,7,2,120,30,4,4,0.25
"Tomato, 1 medium (148 g/5.3 oz)",25,0,20,340,5,1,3,1,20,40,2,4,0.2
"Apple, 1 large (242 g/8 oz)",130,0,0,260,34,5,25,1,2,8,2,2,0.75
"Avocado, California,1/5 medium (30 g/1.1 oz)",50,4.5,0,140,3,1,0,1,0,4,0,2,0.25
"Banana, 1 medium (126 g/4.5 oz)",110,0,0,450,30,3,19,1,2,15,0,2,0.2
"Cantaloupe, 1/4 medium (134 g/4.8 oz)",50,0,20,240,12,1,11,1,120,80,2,2,0.6
"Grapefruit, 1/2 medium, (154 g/5.5 oz)",60,0,0,160,15,2,11,1,35,100,4,0,0.5
"Grapes, 3/4 cup (126 g/4.5 oz)",90,0,15,240,23,1,20,0,0,2,2,0,0.1
Honeydew Melon 1/10 medium melon  (134 g/4.8 oz),50,0,30,210,12,1,11,1,2,45,2,2,0.25
"Kiwifruit, 1 medium (74 g/2.65 oz)",45,0.5,0,275,10,2,6.5,0.5,1,120,2,1,0.1
"Lemon, 1 medium (58 g/2.1 oz)",15,0,0,75,5,2,2,0,0,40,2,0,0.3
"Lime, 1 medium (67 g/2.4 oz)",20,0,0,75,7,2,0,0,0,35,0,0,0.2
"Nectarine, 1 medium (140 g/5.0 oz)",60,0.5,0,250,15,2,11,1,8,15,0,2,0.2
"Orange, 1 medium (154 g/5.5 oz)",80,0,0,250,19,3,14,1,2,130,6,0,0.2
"Peach, 1 medium (147 g/5.3 oz)",60,0.5,0,230,15,2,13,1,6,15,0,2,0.2
"Pear, 1 medium (166 g/5.9 oz)",100,0,0,190,26,6,16,1,0,10,2,0,0.7
"Pineapple, 2 slices",50,0,10,120,13,1,10,1,2,50,2,2,0.05
"Plums, 2 medium (151 g/5.4 oz)",70,0,0,230,19,2,16,1,8,10,0,2,0.5
"Strawberries, 2 medium (37 g/1.3 oz)",50,0,0,170,11,2,8,1,0,160,2,2,0.35
"Sweet Cherries 21 cherries, 1 cup",100,0,0,350,26,1,16,1,2,15,2,2,0.5
"Tangerine, 1 medium (109 g/3.9 oz)",50,0,0,160,13,2,9,1,6,45,4,0,0.5
"Watermelon, 1/18 medium melon; 2 cups diced pieces(280 g)",80,0,0,270,21,1,20,1,30,25,2,4,0.3
Blue Crab,100,1,330,300,0,1,0,20,0,4,10,4,3
Catfish,130,6,40,230,0,1,0,17,0,0,0,0,2
"Clams, about 12 small",110,1.5,95,470,6,1,0,17,10,0,8,30,2
Cod,90,1,65,460,0,1,0,20,0,2,2,2,2
Flounder/Sole,100,1.5,100,390,0,1,0,19,0,0,2,0,2
Haddock,100,1,85,340,0,1,0,21,2,0,2,6,2
Halibut,120,2,60,500,0,1,0,23,4,0,2,6,2
Lobster,80,0.5,320,300,1,1,0,17,2,0,6,2,5
Ocean Perch,110,2,95,290,0,1,0,21,0,2,10,4,2
Orange Roughy,80,1,70,340,0,1,0,16,2,0,4,2,2
"Oysters, about 12 medium",100,4,300,220,6,1,0,10,0,6,6,45,3
Pollock,90,1,110,370,0,1,0,20,2,0,0,2,2
Rainbow Trout,140,6,35,370,0,1,0,20,4,4,8,2,2
Rockfish,110,2,70,440,0,1,0,21,4,0,2,2,3
"Salmon, Atlantic/Coho/Sockeye /Chinook",200,10,55,430,0,1,0,24,4,4,2,2,3
"Salmon, Chum/Pink",130,4,65,420,0,1,0,22,2,0,2,4,2
"Scallops, about 6 large or 14 small",140,1,310,430,5,1,,27,2,0,4,14,2
Shrimp,100,1.5,240,220,0,1,0,21,4,4,6,10,4
Swordfish,120,6,100,310,0,1,0,16,2,2,0,6,2
Tilapia,110,2.5,30,360,0,1,0,22,0,2,0,2,3
Tuna,130,1.5,40,480,0,1,0,26,2,2,2,4,3
White Bread(2 slice/serving),133,1.64,340,50,25.3,1.2,2.16,3.82,0,0,8,10,0.1
Wheat Bread(2 slice/serving),135,2,0,0,25,0,0,5,0,0,6,0,0.2
Multi-Grain Bread(2 slice/serving),140,2,240,0,27,2,3,5,0,0,6,10,0.4
white rice(1 cup/ 150 grams),194,0.42,0,50,41.85,0.6,0,3.99,0,0,2,10,0.2
Brown rice(1 cup/ 150 grams),180,1.37,0,130,38.79,3,0,3.83,0,0,2,10,0.4
Egg (2 egg/serving),70,5,70,69,0,0,0,12,0,0,0,1,0.2
chicken breast(4oz/serving),184,4,0,0,0,0,0,34,0,0,0,0,0.6
turkey breast (4oz/serving),155,1,59,275,0,0,0,34,0,0,0,0,0.8
pork breast (4oz/serving),300,24,900,0,2,0,0,19,0,0,0,0,0.8
beef breast(4oz/serving),110,3,180,30,65,0,0,23,0,1,1,4,1
Bacon (3 thin slice/serving),81,6,348,84,0,0,0,6,0,0,0,0,0.25
Ham (1oz/serving),23,0,0,0,0,0,0,4,0,0,0,0,0.3
Whole milk (1 medium cup(14 fl oz)/serving),230,14,240,0,21,19,14,14,10,6,50,0,0.1
Low fat milk (1 medium cup(14 fl oz)/serving),139,0.21,0.25,0.75,19.25,0,20,13.5,1,7,49,1,0.1
Coffee w whole milk (1 medium cup(14 fl oz)/serving),35,0.21,30,0,3,0,2,0,0,0,0,0,0.5
Latte w whole milk (1 medium cup(14 fl oz)/ serving),170,9,130,0,14,0,14,9,0,0,0,0,0.5
Hot Chocolate (1 medium cup(14 fl oz)/serving),330,10,320,0,27,0,46,3,0,0,0,0,0.6
Plain Oats (1 cup of 150gm/serving),584,10.35,0,640,99.4,15.9,0,25.34,0,0,8,39,0.2
Mix sprouts (1 cup/serving),118,6.5,417,249,13.1,5.1,5.3,6.2,30,57,5,9,0.75
Baby spinach (1 cup 30gm/serving),7,0.1,24,167,1.1,0.7,0.1,0.9,56,14,3,4,0.1
kale (1 cup chopped 67gm/serving),33,0.6,25,329,6,0,0,2.9,133,134,10,5,0.1
Spring mix (1 cup/serving),15,0,30,20,4,2,0,1,60,8,4,0,0.1
Red Cabbage (1 cup chopped 80gm/serving),28,0.1,24,216,7,1.9,3.4,1.3,19,84,4,3,0.2
cheddar (1 slice/serving),113,9,174,27,0.4,0,0.1,7,5,0,20,1,0.5
Mozzarella (1 slice/serving),78,4.8,4,27,0.9,0,0.3,8,2,0,20,0,0.3
Feta (crumbled 5gm/serving),15,1.2,60,3.3,0.2,0,0.2,0.4,1,0,8,0,0.07
Unsalted Mixed nuts (1 oz/serving),172,15,1,179,6,2,1.2,6,0,0,3,3,0.5
Salted Mixed nuts (1 oz/serving),172,15,50,179,6,2,1.2,6,0,0,3,3,0.4
Cherry Tomatoes (8 0z 1 cup/serving),27,0,7,353,6,2,4,1,17,21,1,2,0.2
