AGE ,SEDENTARY,MODERATE,ACTIVE
2,1000,1000,1000
3,1000,1400,1400
4,1200,1400,1600
5,1200,1400,1600
6,1400,1600,1800
7,1400,1600,1800
8,1400,1600,2000
9,1600,1800,2000
10,1600,1800,2200
11,1800,2000,2200
12,2000,2200,2400
13,2000,2200,2600
14,2000,2400,2800
15,2200,2600,3000
16,2400,2800,3200
17,2400,2800,3200
18,2400,2800,3200
19,2600,2800,3000
20,2600,2800,3000
21,2400,2800,3000
22,2400,2800,3000
23,2400,2800,3000
24,2400,2800,3000
25,2400,2800,3000
26,2400,2600,3000
27,2400,2600,3000
28,2400,2600,3000
29,2400,2600,3000
30,2400,2600,3000
31,2400,2600,3000
32,2400,2600,3000
33,2400,2600,3000
34,2400,2600,3000
35,2400,2600,3000
36,2400,2600,2800
37,2400,2600,2800
38,2400,2600,2800
39,2400,2600,2800
40,2400,2600,2800
41,2200,2600,2800
42,2200,2600,2800
43,2200,2600,2800
44,2200,2600,2800
45,2200,2600,2800
46,2200,2400,2800
47,2200,2400,2800
48,2200,2400,2800
49,2200,2400,2800
50,2200,2400,2800
51,2200,2400,2600
52,2200,2400,2600
53,2200,2400,2600
54,2200,2400,2600
55,2200,2400,2600
56,2200,2400,2600
57,2200,2400,2600
58,2200,2400,2600
59,2200,2400,2600
60,2200,2400,2600
61,2000,2400,2600
62,2000,2400,2600
63,2000,2400,2600
64,2000,2400,2600
65,2000,2400,2600
66,2000,2200,2600
67,2000,2200,2600
68,2000,2200,2600
69,2000,2200,2600
70,2000,2200,2600
71,2000,2200,2600
72,2000,2200,2600
73,2000,2200,2600
74,2000,2200,2600
75,2000,2200,2600
76,2000,2200,2400
